1101110,lat,46.03,228,2545,747430,0
1101111,lat,46.73,261,2231,773551,0
01100000,lon,-111.1167,187,1207,362949,1
01100001,lon,-110.05,215,1081,390095,1
011011000,lat,43.9708,151,663,211073,0
001010111,lat,31.2833,161,691,229511,1
001010110,lat,31.3747,146,654,202794,1
00001100,lon,-111.3064,150,1067,270280,1
00001101,lon,-111.4,211,1031,372301,1
101011111,lat,-26.3919,94,683,133552,1
101011110,lat,-25.2361,110,523,138560,1
000101001,lat,39.3167,160,742,236250,1
000101000,lat,39.49,196,761,292966,1
101110101,lat,26.2,128,1332,264666,1
110011010,lat,43.1014,178,790,271290,1
110011011,lat,43.0603,189,883,305587,1
11111100,lon,65.433,235,2291,710665,1
11111101,lon,66.05,195,2495,629605,1
111000111,lat,45.63,187,1296,379592,0
0111100,lat,46.9075,229,2260,685440,0
010100,lon,-124.65,267,7081,2086267,1
01111011,lon,-94.5175,209,1289,422701,0
101101000,lat,39.4,177,756,263752,0
001010,lon,-94.3411,250,6145,1719480,0
001001101,lat,32.3139,182,823,283376,0
00010111,lon,-116.1667,229,1301,465829,1
00010110,lon,-119.0833,227,1264,453368,1
000011110,lat,36.5928,132,519,165598,0
111100010,lat,53.317,119,1263,237897,1
111100011,lat,54.1667,213,1392,452716,1
110111011,lat,46.67,156,578,204778,1
1111011,lat,65.0072,248,5065,1437890,0
11101,lat,46.267,207,18855,4054825,0
11000101,lon,-88.5497,207,1581,479107,1
010000011,lat,44.6167,166,841,261516,1
1111010,lat,61.8628,143,5222,851866,0
010101100,lat,59.5272,139,734,204226,1
110111010,lat,47.83,170,716,246550,1
101000,lon,117.3797,171,4689,927379,0
1110010,lat,47.85,321,2885,1161145,0
00000000,lon,-155.9117,12,1220,24130,1
00000001,lon,-157.8372,125,1440,271980,1
111101011,lat,63.7003,144,1392,306298,1
111101010,lat,65.2667,69,1075,125275,1
110,lat,43.4719,369,47669,17859961,0
0100110,lat,46.3153,258,2783,907084,0
0100111,lat,46.6167,249,2512,807988,0
011100011,lat,48.3042,158,623,214504,1
011110110,lat,47.5369,145,579,190535,0
0010001,lat,28.4114,246,3129,950044,0
0010100,lat,29.9167,235,3294,946370,0
100001101,lat,33.5972,178,831,278588,0
10101001,lon,143.5533,187,1030,329850,1
10101000,lon,145.0333,241,1129,448749,1
001111101,lat,39.4194,161,813,249153,0
101110011,lat,29.25,84,988,145042,0
101111101,lat,35.5,166,1299,337544,1
101111100,lat,35.27,146,1297,296672,1
